Temperature - (Celsius), Year, Statistics, Country, ISO3
16.9292, 2005, May Average, Afghanistan, AFG
23.7403, 2005, Jun Average, Afghanistan, AFG
25.7917, 2005, Jul Average, Afghanistan, AFG
23.968, 2005, Aug Average, Afghanistan, AFG
20.8035, 2005, Sep Average, Afghanistan, AFG
14.5482, 2005, Oct Average, Afghanistan, AFG
7.36499, 2005, Nov Average, Afghanistan, AFG
3.53897, 2005, Dec Average, Afghanistan, AFG
-0.5844, 2006, Jan Average, Afghanistan, AFG
6.36982, 2006, Feb Average, Afghanistan, AFG
9.07679, 2006, Mar Average, Afghanistan, AFG
14.7185, 2006, Apr Average, Afghanistan, AFG
21.7727, 2006, May Average, Afghanistan, AFG
23.2928, 2006, Jun Average, Afghanistan, AFG
25.9808, 2006, Jul Average, Afghanistan, AFG
24.38, 2006, Aug Average, Afghanistan, AFG
19.3212, 2006, Sep Average, Afghanistan, AFG
16.3872, 2006, Oct Average, Afghanistan, AFG
8.09956, 2006, Nov Average, Afghanistan, AFG
1.19483, 2006, Dec Average, Afghanistan, AFG
0.50812, 2007, Jan Average, Afghanistan, AFG
3.83634, 2007, Feb Average, Afghanistan, AFG
7.24586, 2007, Mar Average, Afghanistan, AFG
16.5387, 2007, Apr Average, Afghanistan, AFG
19.1082, 2007, May Average, Afghanistan, AFG
23.8027, 2007, Jun Average, Afghanistan, AFG
25.1984, 2007, Jul Average, Afghanistan, AFG
23.979, 2007, Aug Average, Afghanistan, AFG
19.5104, 2007, Sep Average, Afghanistan, AFG
11.8312, 2007, Oct Average, Afghanistan, AFG
8.87729, 2007, Nov Average, Afghanistan, AFG
1.69748, 2007, Dec Average, Afghanistan, AFG
-4.1737, 2008, Jan Average, Afghanistan, AFG
0.89203, 2008, Feb Average, Afghanistan, AFG
11.7119, 2008, Mar Average, Afghanistan, AFG
14.5478, 2008, Apr Average, Afghanistan, AFG
20.8788, 2008, May Average, Afghanistan, AFG
25.4792, 2008, Jun Average, Afghanistan, AFG
26.1291, 2008, Jul Average, Afghanistan, AFG
24.0675, 2008, Aug Average, Afghanistan, AFG
20.0349, 2008, Sep Average, Afghanistan, AFG
14.8832, 2008, Oct Average, Afghanistan, AFG
7.17362, 2008, Nov Average, Afghanistan, AFG
3.40945, 2008, Dec Average, Afghanistan, AFG
1.53049, 2009, Jan Average, Afghanistan, AFG
4.82674, 2009, Feb Average, Afghanistan, AFG
10.1183, 2009, Mar Average, Afghanistan, AFG
11.8273, 2009, Apr Average, Afghanistan, AFG
19.4634, 2009, May Average, Afghanistan, AFG
22.0704, 2009, Jun Average, Afghanistan, AFG
25.7536, 2009, Jul Average, Afghanistan, AFG
25.4188, 2009, Aug Average, Afghanistan, AFG
20.2366, 2009, Sep Average, Afghanistan, AFG
13.3825, 2009, Oct Average, Afghanistan, AFG
7.23475, 2009, Nov Average, Afghanistan, AFG
3.5232, 2009, Dec Average, Afghanistan, AFG
3.18115, 2010, Jan Average, Afghanistan, AFG
2.94048, 2010, Feb Average, Afghanistan, AFG
10.9348, 2010, Mar Average, Afghanistan, AFG
16.0153, 2010, Apr Average, Afghanistan, AFG
19.0795, 2010, May Average, Afghanistan, AFG
23.3312, 2010, Jun Average, Afghanistan, AFG
25.2624, 2010, Jul Average, Afghanistan, AFG
24.1389, 2010, Aug Average, Afghanistan, AFG
18.8161, 2010, Sep Average, Afghanistan, AFG
15.7737, 2010, Oct Average, Afghanistan, AFG
7.3301, 2010, Nov Average, Afghanistan, AFG
2.46686, 2010, Dec Average, Afghanistan, AFG
0.58207, 2011, Jan Average, Afghanistan, AFG
2.48703, 2011, Feb Average, Afghanistan, AFG
8.27917, 2011, Mar Average, Afghanistan, AFG
14.8614, 2011, Apr Average, Afghanistan, AFG
21.2962, 2011, May Average, Afghanistan, AFG
25.1002, 2011, Jun Average, Afghanistan, AFG
25.5349, 2011, Jul Average, Afghanistan, AFG
25.0517, 2011, Aug Average, Afghanistan, AFG
19.6493, 2011, Sep Average, Afghanistan, AFG
14.4057, 2011, Oct Average, Afghanistan, AFG
6.98109, 2011, Nov Average, Afghanistan, AFG
0.50918, 2011, Dec Average, Afghanistan, AFG
-0.5329, 2012, Jan Average, Afghanistan, AFG
-0.3738, 2012, Feb Average, Afghanistan, AFG
7.07321, 2012, Mar Average, Afghanistan, AFG
14.4267, 2012, Apr Average, Afghanistan, AFG
18.8992, 2012, May Average, Afghanistan, AFG
23.2849, 2012, Jun Average, Afghanistan, AFG
26.2565, 2012, Jul Average, Afghanistan, AFG
24.5623, 2012, Aug Average, Afghanistan, AFG
19.2339, 2012, Sep Average, Afghanistan, AFG
13.6072, 2012, Oct Average, Afghanistan, AFG
7.01731, 2012, Nov Average, Afghanistan, AFG
2.26085, 2012, Dec Average, Afghanistan, AFG
1.5778, 2013, Jan Average, Afghanistan, AFG
3.08646, 2013, Feb Average, Afghanistan, AFG
7.5901, 2013, Mar Average, Afghanistan, AFG
13.4938, 2013, Apr Average, Afghanistan, AFG
19.6124, 2013, May Average, Afghanistan, AFG
24.9157, 2013, Jun Average, Afghanistan, AFG
26.4471, 2013, Jul Average, Afghanistan, AFG
