Country,Source,1990,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,
,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,U,97.5,,99.0,,99.0,,99.0,,99.0,,99.0,,99.0,,99.0,,99.0,,99.9,,99.9,,99.9,,99.9,,99.9,,100.0,,100.0,,100.0,,100.0,,100.0,,...,,...,
Slovakia,O,43.1,,48.3,,48.6,,48.7,,48.8,,49.9,,50.5,,51.4,,52.1,,53.3,,54.1,,55.2,,55.2,,57.1,,57.2,,57.9,,58.9,,60.0,,61.0,,62.1,,63.7,
Slovenia,O,...,,...,,...,,...,,19.0,,20.8,,36.2,,37.1,,38.1,,39.6,,48.3,,49.9,,51.3,,52.5,,52.4,,53.4,,53.0,,54.5,,54.7,,55.4,,...,
South Africa,U,...,,39.0,,39.0,,41.0,,43.0,,45.0,,46.0,,48.0,,50.0,,50.0,,52.0,,54.0,,55.0,,57.0,,...,,...,,...,,57.0,  10,...,,...,,...,
Spain,O,48.0,,48.3,  1,...,,...,,...,,...,,81.0,  1,...,,89.0,  1,...,,...,,...,,92.0,  1,...,,92.0,  1,...,,96.0,  1,...,,97.8,,...,,...,
Sweden,O,86.0,,86.0,,...,,...,,93.0,,...,,86.0,,...,,85.0,,86.0,,86.0,,86.0,,86.0,,86.0,,86.0,,86.0,,86.0,,86.0,,87.0,,87.0,,...,
Switzerland,O,90.0,,94.0,,...,,95.0,,95.5,,95.8,,96.0,,96.0,,96.0,,...,,...,,96.8,,...,,...,,...,,...,,97.3,,...,,...,,98.0,,...,
The former Yugoslav Republic of Macedonia,U,5.0,,5.0,,...,,...,,...,,5.0,,5.0,,6.0,,6.0,,6.0,,6.0,,6.5,,7.0,,7.0,,7.0,,...,,...,,...,,...,,...,,...,
Trinidad and Tobago,U,...,,...,,...,,...,,...,,...,,...,,20.0,,20.0,,20.0,,30.0,,20.0,,25.2,,25.2,,...,,...,,...,,...,,...,,...,,...,
Tunisia,U,9.1,,20.0,,...,,...,,...,,34.1,,36.7,,38.7,,41.9,,44.9,,46.8,,48.4,,51.2,,51.8,,52.5,,53.5,,53.8,,...,,...,,...,,...,
Turkey,O,6.8,,8.9,,10.5,,14.4,,16.6,,22.5,,26.3,,27.3,,27.4,,29.5,,35.8,,42.1,,43.2,,45.8,,46.2,,49.7,,52.0,  3,...,,58.3,,...,,...,
United Arab Emirates,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,78.3,  11,...,,...,,...,,...,,...,,...,,...,
United Kingdom of Great Britain and Northern Ireland,O,87.0,,85.0,  1,88.0,  1,84.0,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,96.9,,97.0,  1,99.6,  1,...,,...,,...,,...,
United States of America,O,...,,...,,71.8,,...,,...,,...,,75.4,  1,...,,...,,...,,74.9,  1,...,,...,,...,,73.7,  1,...,,...,,...,,...,,...,,...,
Venezuela (Bolivarian Republic of),U,...,,...,,...,,...,,...,,...,,20.2,,20.6,,20.9,,21.1,,21.3,,21.7,,21.9,,22.0,,22.3,,23.8,,...,,...,,...,,...,,...,
Yemen,U,...,,...,,...,,...,,...,,3.3,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
